"","times.burned","x","y","Country","group","pc1.01","pc2.01"
"31",1,484482.5748,3455691.953,"MEXICO",1,0.258775807173834,0.624787425308454
"32",1,620582.5748,3600091.953,"US",1,0.273799367374944,0.81230275923767
"33",1,709782.5748,3432391.953,"MEXICO",1,0.346898836110975,0.707893773134213
"34",1,561282.5748,3656391.953,"US",1,0.442394454280553,0.648408040650658
"35",1,571082.5748,3602991.953,"US",1,0.310412056631958,0.704016222810396
"36",1,663682.5748,3550791.953,"US",1,0.36282519896137,0.735710194342033
"37",1,654782.5748,3552891.953,"US",1,0.431230929206807,0.610504032749182
"38",1,478982.5748,3472691.953,"MEXICO",1,0.231473871856608,0.676964861637271
"39",1,487982.5748,3497391.953,"US",1,0.211257751792398,0.652759576582791
"40",1,658882.5748,3547891.953,"US",1,0.530240267014924,0.45274538746461
"41",1,525682.5748,3579391.953,"US",1,0.302982802665209,0.551519956503458
"42",1,653082.5748,3522391.953,"US",1,0.539057144636098,0.418584673045089
"43",1,542982.5748,3571291.953,"US",1,0.261906900655703,0.644609757025774
"44",1,528282.5748,3465691.953,"MEXICO",1,0.372305446060186,0.541784799898572
"45",1,595182.5748,3306691.953,"MEXICO",1,0.220283366519741,0.344514905338597
"46",1,670882.5748,3527091.953,"US",1,0.545741529148638,0.474381568502449
"47",1,652882.5748,3525291.953,"US",1,0.446389910841252,0.551999999792061
"48",1,657282.5748,3535191.953,"US",1,0.521424850818541,0.497598878512308
"49",1,640982.5748,3365091.953,"MEXICO",1,0.159361824763367,0.627814659937247
"50",1,712482.5748,3488791.953,"US",1,0.490059562156247,0.560620641593592
"51",1,489382.5748,3494191.953,"US",1,0.220759756008675,0.63830052969837
"52",1,490282.5748,3484091.953,"US",1,0.248527101812544,0.688080325900954
"53",1,546382.5748,3321591.953,"MEXICO",1,0.128815734671719,0.426096407535469
"54",1,550482.5748,3326391.953,"MEXICO",1,0.17817201987258,0.392086421944307
"55",1,706882.5748,3366691.953,"MEXICO",1,0.274643578851497,0.690941135521164
"56",1,516482.5748,3431291.953,"MEXICO",1,0.227818419903097,0.624118461432698
"57",1,556082.5748,3357091.953,"MEXICO",1,0.207247242083973,0.418894228448141
"58",1,543182.5748,3398491.953,"MEXICO",1,0.2756715830444,0.457333937113869
"59",1,551482.5748,3563891.953,"US",1,0.228148658411043,0.707649420495564
"60",1,662882.5748,3549091.953,"US",1,0.433361434488736,0.606140957150187
"61",1,694582.5748,3428991.953,"MEXICO",1,0.42826462058772,0.581141851271819
"62",1,596982.5748,3309891.953,"MEXICO",1,0.147227325191366,0.426318068111867
"63",1,667582.5748,3361891.953,"MEXICO",1,0.219387489921824,0.6156915489428
"64",1,670182.5748,3518891.953,"US",1,0.550540111805477,0.420717992788161
"65",1,709682.5748,3363591.953,"MEXICO",1,0.263317813126674,0.691090455980571
"66",1,517882.5748,3420591.953,"MEXICO",1,0.199656229905698,0.626995496629269
"67",1,442382.5748,3528291.953,"US",1,0.244653613352509,0.528900311239993
"68",1,688182.5748,3423191.953,"MEXICO",1,0.376683694374119,0.614248456876886
"69",1,544782.5748,3547891.953,"US",1,0.288130503285863,0.641443157009332
"70",1,693982.5748,3304191.953,"MEXICO",1,0.331042910358068,0.441816718734641
"71",1,680682.5748,3373291.953,"MEXICO",1,0.32224463515518,0.576436009767584
"72",1,542082.5748,3331491.953,"MEXICO",1,0.0695327437740027,0.488646808668333
"73",1,531782.5748,3452791.953,"MEXICO",1,0.317571806496136,0.598930581380181
"74",1,599182.5748,3627691.953,"US",1,0.287167575989288,0.774360585561864
"75",1,647582.5748,3307291.953,"MEXICO",1,0.173104705396736,0.473618857465132
"76",1,609682.5748,3404191.953,"MEXICO",1,0.318161352911042,0.516888257635004
"77",1,670582.5748,3514491.953,"US",1,0.438791427181112,0.55998229321408
"78",1,703482.5748,3392791.953,"MEXICO",1,0.518885613475385,0.526105489495918
"79",1,540282.5748,3557291.953,"US",1,0.190811749731852,0.73825123526161
"80",1,714282.5748,3451491.953,"MEXICO",1,0.437362678986882,0.624935411335835
"81",1,566582.5748,3655791.953,"US",1,0.51046103331115,0.61236553190512
"82",1,592382.5748,3426791.953,"MEXICO",1,0.355134034311836,0.502645756093049
"83",1,673482.5748,3391791.953,"MEXICO",1,0.419363576748524,0.519488805500246
"84",1,546882.5748,3547091.953,"US",1,0.297275206078203,0.619563569081332
"85",1,549282.5748,3491791.953,"US",1,0.322182102359075,0.682306653558267
"86",1,596282.5748,3623591.953,"US",1,0.58404285259963,0.483633169160065
"87",1,530782.5748,3585591.953,"US",1,0.457981454396022,0.425686646797591
"88",1,667182.5748,3361691.953,"MEXICO",1,0.245290557265438,0.593287621009851
